"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_767","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula vesca","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_934","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida quercitrusa","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_659","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma conferendum","Possible","Agaricoid","Ectomycorrhizal-Saprotroph","Possible"
"OTU_286","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius saniosus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_108","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_583","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_549","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus indicum","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_711","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala moniliae","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_351","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes sp","-","-","-","-"
"OTU_271","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus","Leucoagaricus americanus","Probable","Agaricoid","Undefined Saprotroph","Probable"
"OTU_1043","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","unidentified","Herpotrichiellaceae sp","-","-","-","-"
"OTU_449","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium dichromosporum","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_611","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_246","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella coerulea","Highly Probable","Resupinate","Ectomycorrhizal","Highly Probable"
"OTU_532","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","Lecythophora fasciculata","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
